id,code,name,business_name
catalogos_banco1,002,BANAMEX,"Banco Nacional de México, S.A., Institución de Banca Múltiple, Grupo
Financiero Banamex"
catalogos_banco2,006,BANCOMEXT,"Banco Nacional de Comercio Exterior, Sociedad Nacional de Crédito,
Institución de Banca de Desarrollo"
catalogos_banco3,009,BANOBRAS,"Banco Nacional de Obras y Servicios Públicos, Sociedad Nacional de
Crédito, Institución de Banca de Desarrollo"
catalogos_banco4,012,BBVA BANCOMER,"BBVA Bancomer, S.A., Institución de Banca Múltiple, Grupo Financiero BBVA
Bancomer"
catalogos_banco5,014,SANTANDER,"Banco Santander (México), S.A., Institución de Banca Múltiple, Grupo
Financiero Santander"
catalogos_banco6,019,BANJERCITO,"Banco Nacional del Ejército, Fuerza Aérea y Armada, Sociedad Nacional de
Crédito, Institución de Banca de Desarrollo"
catalogos_banco7,021,HSBC,"HSBC México, S.A., institución De Banca Múltiple, Grupo Financiero HSBC"
catalogos_banco8,030,BAJIO,"Banco del Bajío, S.A., Institución de Banca Múltiple"
catalogos_banco9,032,IXE,"IXE Banco, S.A., Institución de Banca Múltiple, IXE Grupo Financiero"
catalogos_banco10,036,INBURSA,"Banco Inbursa, S.A., Institución de Banca Múltiple, Grupo Financiero Inbursa"
catalogos_banco11,037,INTERACCIONES,"Banco Interacciones, S.A., Institución de Banca Múltiple"
catalogos_banco12,042,MIFEL,"Banca Mifel, S.A., Institución de Banca Múltiple, Grupo Financiero Mifel"
catalogos_banco13,044,SCOTIABANK,"Scotiabank Inverlat, S.A."
catalogos_banco14,058,BANREGIO,"Banco Regional de Monterrey, S.A., Institución de Banca Múltiple, Banregio
Grupo Financiero"
catalogos_banco15,059,INVEX,"Banco Invex, S.A., Institución de Banca Múltiple, Invex Grupo Financiero"
catalogos_banco16,060,BANSI,"Bansi, S.A., Institución de Banca Múltiple"
catalogos_banco17,062,AFIRME,"Banca Afirme, S.A., Institución de Banca Múltiple"
catalogos_banco18,072,BANORTE,"Banco Mercantil del Norte, S.A., Institución de Banca Múltiple, Grupo
Financiero Banorte"
catalogos_banco19,102,THE ROYAL BANK,"The Royal Bank of Scotland México, S.A., Institución de Banca Múltiple"
catalogos_banco20,103,AMERICAN EXPRESS,"American Express Bank (México), S.A., Institución de Banca Múltiple"
catalogos_banco21,106,BAMSA,"Bank of America México, S.A., Institución de Banca Múltiple, Grupo
Financiero Bank of America"
catalogos_banco22,108,TOKYO,"Bank of Tokyo-Mitsubishi UFJ (México), S.A."
catalogos_banco23,110,JP MORGAN,"Banco J.P. Morgan, S.A., Institución de Banca Múltiple, J.P. Morgan Grupo
Financiero"
catalogos_banco24,112,BMONEX,"Banco Monex, S.A., Institución de Banca Múltiple"
catalogos_banco25,113,VE POR MAS,"Banco Ve Por Mas, S.A. Institución de Banca Múltiple"
catalogos_banco26,116,ING,"ING Bank (México), S.A., Institución de Banca Múltiple, ING Grupo
Financiero"
catalogos_banco27,124,DEUTSCHE,"Deutsche Bank México, S.A., Institución de Banca Múltiple"
catalogos_banco28,126,CREDIT SUISSE,"Banco Credit Suisse (México), S.A. Institución de Banca Múltiple, Grupo
Financiero Credit Suisse (México)"
catalogos_banco29,127,AZTECA,"Banco Azteca, S.A. Institución de Banca Múltiple."
catalogos_banco30,128,AUTOFIN,"Banco Autofin México, S.A. Institución de Banca Múltiple"
catalogos_banco31,129,BARCLAYS,"Barclays Bank México, S.A., Institución de Banca Múltiple, Grupo Financiero
Barclays México"
catalogos_banco32,130,COMPARTAMOS,"Banco Compartamos, S.A., Institución de Banca Múltiple"
