id,state_id/id,name,code,zone
municipality_state_mx_ags_01001,base.state_mx_ags,Aguascalientes,01001,singlezone
municipality_state_mx_ags_01002,base.state_mx_ags,Asientos,01002,singlezone
municipality_state_mx_ags_01003,base.state_mx_ags,Calvillo,01003,singlezone
municipality_state_mx_ags_01004,base.state_mx_ags,Cosío,01004,singlezone
municipality_state_mx_ags_01005,base.state_mx_ags,Jesús María,01005,singlezone
municipality_state_mx_ags_01006,base.state_mx_ags,Pabellón de Arteaga,01006,singlezone
municipality_state_mx_ags_01007,base.state_mx_ags,Rincón de Romos,01007,singlezone
municipality_state_mx_ags_01008,base.state_mx_ags,San José de Gracia,01008,singlezone
municipality_state_mx_ags_01009,base.state_mx_ags,Tepezalá,01009,singlezone
municipality_state_mx_ags_01010,base.state_mx_ags,El Llano,01010,singlezone
municipality_state_mx_ags_01011,base.state_mx_ags,San Francisco de los Romo,01011,singlezone
municipality_state_mx_bc_02001,base.state_mx_bc,Ensenada,02001,freezone
municipality_state_mx_bc_02002,base.state_mx_bc,Mexicali,02002,freezone
municipality_state_mx_bc_02003,base.state_mx_bc,Tecate,02003,freezone
municipality_state_mx_bc_02004,base.state_mx_bc,Tijuana,02004,freezone
municipality_state_mx_bc_02005,base.state_mx_bc,Playas de Rosarito,02005,freezone
municipality_state_mx_bcs_03001,base.state_mx_bcs,Comondú,03001,singlezone
municipality_state_mx_bcs_03002,base.state_mx_bcs,Mulegé,03002,singlezone
municipality_state_mx_bcs_03003,base.state_mx_bcs,La Paz,03003,singlezone
municipality_state_mx_bcs_03008,base.state_mx_bcs,Los Cabos,03008,singlezone
municipality_state_mx_bcs_03009,base.state_mx_bcs,Loreto,03009,singlezone
municipality_state_mx_camp_04001,base.state_mx_camp,Calkiní,04001,singlezone
municipality_state_mx_camp_04002,base.state_mx_camp,Campeche,04002,singlezone
municipality_state_mx_camp_04003,base.state_mx_camp,Carmen,04003,singlezone
municipality_state_mx_camp_04004,base.state_mx_camp,Champotón,04004,singlezone
municipality_state_mx_camp_04005,base.state_mx_camp,Hecelchakán,04005,singlezone
municipality_state_mx_camp_04006,base.state_mx_camp,Hopelchén,04006,singlezone
municipality_state_mx_camp_04007,base.state_mx_camp,Palizada,04007,singlezone
municipality_state_mx_camp_04008,base.state_mx_camp,Tenabo,04008,singlezone
municipality_state_mx_camp_04009,base.state_mx_camp,Escárcega,04009,singlezone
municipality_state_mx_camp_04010,base.state_mx_camp,Calakmul,04010,singlezone
municipality_state_mx_camp_04011,base.state_mx_camp,Candelaria,04011,singlezone
municipality_state_mx_coah_05001,base.state_mx_coah,Abasolo,05001,singlezone
municipality_state_mx_coah_05002,base.state_mx_coah,Acuña,05002,freezone
municipality_state_mx_coah_05003,base.state_mx_coah,Allende,05003,singlezone
municipality_state_mx_coah_05004,base.state_mx_coah,Arteaga,05004,singlezone
municipality_state_mx_coah_05005,base.state_mx_coah,Candela,05005,singlezone
municipality_state_mx_coah_05006,base.state_mx_coah,Castaños,05006,singlezone
municipality_state_mx_coah_05007,base.state_mx_coah,Cuatro Ciénegas,05007,singlezone
municipality_state_mx_coah_05008,base.state_mx_coah,Escobedo,05008,singlezone
municipality_state_mx_coah_05009,base.state_mx_coah,Francisco I. Madero,05009,singlezone
municipality_state_mx_coah_05010,base.state_mx_coah,Frontera,05010,singlezone
municipality_state_mx_coah_05011,base.state_mx_coah,General Cepeda,05011,singlezone
municipality_state_mx_coah_05012,base.state_mx_coah,Guerrero,05012,freezone
municipality_state_mx_coah_05013,base.state_mx_coah,Hidalgo,05013,freezone
municipality_state_mx_coah_05014,base.state_mx_coah,Jiménez,05014,freezone
municipality_state_mx_coah_05015,base.state_mx_coah,Juárez,05015,singlezone
municipality_state_mx_coah_05016,base.state_mx_coah,Lamadrid,05016,singlezone
municipality_state_mx_coah_05017,base.state_mx_coah,Matamoros,05017,singlezone
municipality_state_mx_coah_05018,base.state_mx_coah,Monclova,05018,singlezone
municipality_state_mx_coah_05019,base.state_mx_coah,Morelos,05019,singlezone
municipality_state_mx_coah_05020,base.state_mx_coah,Múzquiz,05020,singlezone
municipality_state_mx_coah_05021,base.state_mx_coah,Nadadores,05021,singlezone
municipality_state_mx_coah_05022,base.state_mx_coah,Nava,05022,freezone
municipality_state_mx_coah_05023,base.state_mx_coah,Ocampo,05023,freezone
municipality_state_mx_coah_05024,base.state_mx_coah,Parras,05024,singlezone
municipality_state_mx_coah_05025,base.state_mx_coah,Piedras Negras,05025,freezone
municipality_state_mx_coah_05026,base.state_mx_coah,Progreso,05026,singlezone
municipality_state_mx_coah_05027,base.state_mx_coah,Ramos Arizpe,05027,singlezone
municipality_state_mx_coah_05028,base.state_mx_coah,Sabinas,05028,singlezone
