id,municipality_id:id,zone,date_from
zone_municipality_state_mx_ags_01001,municipality_state_mx_ags_01001,singlezone,2019-01-01
zone_municipality_state_mx_ags_01002,municipality_state_mx_ags_01002,singlezone,2019-01-01
zone_municipality_state_mx_ags_01003,municipality_state_mx_ags_01003,singlezone,2019-01-01
zone_municipality_state_mx_ags_01004,municipality_state_mx_ags_01004,singlezone,2019-01-01
zone_municipality_state_mx_ags_01005,municipality_state_mx_ags_01005,singlezone,2019-01-01
zone_municipality_state_mx_ags_01006,municipality_state_mx_ags_01006,singlezone,2019-01-01
zone_municipality_state_mx_ags_01007,municipality_state_mx_ags_01007,singlezone,2019-01-01
zone_municipality_state_mx_ags_01008,municipality_state_mx_ags_01008,singlezone,2019-01-01
zone_municipality_state_mx_ags_01009,municipality_state_mx_ags_01009,singlezone,2019-01-01
zone_municipality_state_mx_ags_01010,municipality_state_mx_ags_01010,singlezone,2019-01-01
zone_municipality_state_mx_ags_01011,municipality_state_mx_ags_01011,singlezone,2019-01-01
zone_municipality_state_mx_bc_02001,municipality_state_mx_bc_02001,freezone,2019-01-01
zone_municipality_state_mx_bc_02002,municipality_state_mx_bc_02002,freezone,2019-01-01
zone_municipality_state_mx_bc_02003,municipality_state_mx_bc_02003,freezone,2019-01-01
zone_municipality_state_mx_bc_02004,municipality_state_mx_bc_02004,freezone,2019-01-01
zone_municipality_state_mx_bc_02005,municipality_state_mx_bc_02005,freezone,2019-01-01
zone_municipality_state_mx_bcs_03001,municipality_state_mx_bcs_03001,singlezone,2019-01-01
zone_municipality_state_mx_bcs_03002,municipality_state_mx_bcs_03002,singlezone,2019-01-01
zone_municipality_state_mx_bcs_03003,municipality_state_mx_bcs_03003,singlezone,2019-01-01
zone_municipality_state_mx_bcs_03008,municipality_state_mx_bcs_03008,singlezone,2019-01-01
zone_municipality_state_mx_bcs_03009,municipality_state_mx_bcs_03009,singlezone,2019-01-01
zone_municipality_state_mx_camp_04001,municipality_state_mx_camp_04001,singlezone,2019-01-01
zone_municipality_state_mx_camp_04002,municipality_state_mx_camp_04002,singlezone,2019-01-01
zone_municipality_state_mx_camp_04003,municipality_state_mx_camp_04003,singlezone,2019-01-01
zone_municipality_state_mx_camp_04004,municipality_state_mx_camp_04004,singlezone,2019-01-01
zone_municipality_state_mx_camp_04005,municipality_state_mx_camp_04005,singlezone,2019-01-01
zone_municipality_state_mx_camp_04006,municipality_state_mx_camp_04006,singlezone,2019-01-01
zone_municipality_state_mx_camp_04007,municipality_state_mx_camp_04007,singlezone,2019-01-01
zone_municipality_state_mx_camp_04008,municipality_state_mx_camp_04008,singlezone,2019-01-01
zone_municipality_state_mx_camp_04009,municipality_state_mx_camp_04009,singlezone,2019-01-01
zone_municipality_state_mx_camp_04010,municipality_state_mx_camp_04010,singlezone,2019-01-01
zone_municipality_state_mx_camp_04011,municipality_state_mx_camp_04011,singlezone,2019-01-01
zone_municipality_state_mx_coah_05001,municipality_state_mx_coah_05001,singlezone,2019-01-01
zone_municipality_state_mx_coah_05002,municipality_state_mx_coah_05002,freezone,2019-01-01
zone_municipality_state_mx_coah_05003,municipality_state_mx_coah_05003,singlezone,2019-01-01
zone_municipality_state_mx_coah_05004,municipality_state_mx_coah_05004,singlezone,2019-01-01
zone_municipality_state_mx_coah_05005,municipality_state_mx_coah_05005,singlezone,2019-01-01
zone_municipality_state_mx_coah_05006,municipality_state_mx_coah_05006,singlezone,2019-01-01
zone_municipality_state_mx_coah_05007,municipality_state_mx_coah_05007,singlezone,2019-01-01
zone_municipality_state_mx_coah_05008,municipality_state_mx_coah_05008,singlezone,2019-01-01
zone_municipality_state_mx_coah_05009,municipality_state_mx_coah_05009,singlezone,2019-01-01
zone_municipality_state_mx_coah_05010,municipality_state_mx_coah_05010,singlezone,2019-01-01
zone_municipality_state_mx_coah_05011,municipality_state_mx_coah_05011,singlezone,2019-01-01
zone_municipality_state_mx_coah_05012,municipality_state_mx_coah_05012,freezone,2019-01-01
zone_municipality_state_mx_coah_05013,municipality_state_mx_coah_05013,freezone,2019-01-01
zone_municipality_state_mx_coah_05014,municipality_state_mx_coah_05014,freezone,2019-01-01
zone_municipality_state_mx_coah_05015,municipality_state_mx_coah_05015,singlezone,2019-01-01
zone_municipality_state_mx_coah_05016,municipality_state_mx_coah_05016,singlezone,2019-01-01
zone_municipality_state_mx_coah_05017,municipality_state_mx_coah_05017,singlezone,2019-01-01
zone_municipality_state_mx_coah_05018,municipality_state_mx_coah_05018,singlezone,2019-01-01
zone_municipality_state_mx_coah_05019,municipality_state_mx_coah_05019,singlezone,2019-01-01
zone_municipality_state_mx_coah_05020,municipality_state_mx_coah_05020,singlezone,2019-01-01
zone_municipality_state_mx_coah_05021,municipality_state_mx_coah_05021,singlezone,2019-01-01
zone_municipality_state_mx_coah_05022,municipality_state_mx_coah_05022,freezone,2019-01-01
zone_municipality_state_mx_coah_05023,municipality_state_mx_coah_05023,freezone,2019-01-01
zone_municipality_state_mx_coah_05024,municipality_state_mx_coah_05024,singlezone,2019-01-01
zone_municipality_state_mx_coah_05025,municipality_state_mx_coah_05025,freezone,2019-01-01
zone_municipality_state_mx_coah_05026,municipality_state_mx_coah_05026,singlezone,2019-01-01
zone_municipality_state_mx_coah_05027,municipality_state_mx_coah_05027,singlezone,2019-01-01
zone_municipality_state_mx_coah_05028,municipality_state_mx_coah_05028,singlezone,2019-01-01
zone_municipality_state_mx_coah_05029,municipality_state_mx_coah_05029,singlezone,2019-01-01
zone_municipality_state_mx_coah_05030,municipality_state_mx_coah_05030,singlezone,2019-01-01
zone_municipality_state_mx_coah_05031,municipality_state_mx_coah_05031,singlezone,2019-01-01
zone_municipality_state_mx_coah_05032,municipality_state_mx_coah_05032,singlezone,2019-01-01
zone_municipality_state_mx_coah_05033,municipality_state_mx_coah_05033,singlezone,2019-01-01
zone_municipality_state_mx_coah_05034,municipality_state_mx_coah_05034,singlezone,2019-01-01
zone_municipality_state_mx_coah_05035,municipality_state_mx_coah_05035,singlezone,2019-01-01
zone_municipality_state_mx_coah_05036,municipality_state_mx_coah_05036,singlezone,2019-01-01
zone_municipality_state_mx_coah_05037,municipality_state_mx_coah_05037,singlezone,2019-01-01
zone_municipality_state_mx_coah_05038,municipality_state_mx_coah_05038,freezone,2019-01-01
zone_municipality_state_mx_col_06001,municipality_state_mx_col_06001,singlezone,2019-01-01
zone_municipality_state_mx_col_06002,municipality_state_mx_col_06002,singlezone,2019-01-01
zone_municipality_state_mx_col_06003,municipality_state_mx_col_06003,singlezone,2019-01-01
zone_municipality_state_mx_col_06004,municipality_state_mx_col_06004,singlezone,2019-01-01
zone_municipality_state_mx_col_06005,municipality_state_mx_col_06005,singlezone,2019-01-01
zone_municipality_state_mx_col_06006,municipality_state_mx_col_06006,singlezone,2019-01-01
zone_municipality_state_mx_col_06007,municipality_state_mx_col_06007,singlezone,2019-01-01
zone_municipality_state_mx_col_06008,municipality_state_mx_col_06008,singlezone,2019-01-01
zone_municipality_state_mx_col_06009,municipality_state_mx_col_06009,singlezone,2019-01-01
zone_municipality_state_mx_col_06010,municipality_state_mx_col_06010,singlezone,2019-01-01
zone_municipality_state_mx_chis_07001,municipality_state_mx_chis_07001,singlezone,2019-01-01
zone_municipality_state_mx_chis_07002,municipality_state_mx_chis_07002,singlezone,2019-01-01
zone_municipality_state_mx_chis_07003,municipality_state_mx_chis_07003,singlezone,2019-01-01
zone_municipality_state_mx_chis_07004,municipality_state_mx_chis_07004,singlezone,2019-01-01
zone_municipality_state_mx_chis_07005,municipality_state_mx_chis_07005,singlezone,2019-01-01
zone_municipality_state_mx_chis_07006,municipality_state_mx_chis_07006,singlezone,2019-01-01
zone_municipality_state_mx_chis_07007,municipality_state_mx_chis_07007,singlezone,2019-01-01
zone_municipality_state_mx_chis_07008,municipality_state_mx_chis_07008,singlezone,2019-01-01
zone_municipality_state_mx_chis_07009,municipality_state_mx_chis_07009,singlezone,2019-01-01
zone_municipality_state_mx_chis_07010,municipality_state_mx_chis_07010,singlezone,2019-01-01
zone_municipality_state_mx_chis_07011,municipality_state_mx_chis_07011,singlezone,2019-01-01
zone_municipality_state_mx_chis_07012,municipality_state_mx_chis_07012,singlezone,2019-01-01
zone_municipality_state_mx_chis_07013,municipality_state_mx_chis_07013,singlezone,2019-01-01
zone_municipality_state_mx_chis_07014,municipality_state_mx_chis_07014,singlezone,2019-01-01
zone_municipality_state_mx_chis_07015,municipality_state_mx_chis_07015,singlezone,2019-01-01
zone_municipality_state_mx_chis_07016,municipality_state_mx_chis_07016,singlezone,2019-01-01
zone_municipality_state_mx_chis_07017,municipality_state_mx_chis_07017,singlezone,2019-01-01
zone_municipality_state_mx_chis_07018,municipality_state_mx_chis_07018,singlezone,2019-01-01
zone_municipality_state_mx_chis_07019,municipality_state_mx_chis_07019,singlezone,2019-01-01
zone_municipality_state_mx_chis_07020,municipality_state_mx_chis_07020,singlezone,2019-01-01
zone_municipality_state_mx_chis_07021,municipality_state_mx_chis_07021,singlezone,2019-01-01
zone_municipality_state_mx_chis_07022,municipality_state_mx_chis_07022,singlezone,2019-01-01
zone_municipality_state_mx_chis_07023,municipality_state_mx_chis_07023,singlezone,2019-01-01
zone_municipality_state_mx_chis_07024,municipality_state_mx_chis_07024,singlezone,2019-01-01
zone_municipality_state_mx_chis_07025,municipality_state_mx_chis_07025,singlezone,2019-01-01
zone_municipality_state_mx_chis_07026,municipality_state_mx_chis_07026,singlezone,2019-01-01
zone_municipality_state_mx_chis_07027,municipality_state_mx_chis_07027,singlezone,2019-01-01
zone_municipality_state_mx_chis_07028,municipality_state_mx_chis_07028,singlezone,2019-01-01
zone_municipality_state_mx_chis_07029,municipality_state_mx_chis_07029,singlezone,2019-01-01
zone_municipality_state_mx_chis_07030,municipality_state_mx_chis_07030,singlezone,2019-01-01
zone_municipality_state_mx_chis_07031,municipality_state_mx_chis_07031,singlezone,2019-01-01
zone_municipality_state_mx_chis_07032,municipality_state_mx_chis_07032,singlezone,2019-01-01
zone_municipality_state_mx_chis_07033,municipality_state_mx_chis_07033,singlezone,2019-01-01
zone_municipality_state_mx_chis_07034,municipality_state_mx_chis_07034,singlezone,2019-01-01
zone_municipality_state_mx_chis_07035,municipality_state_mx_chis_07035,singlezone,2019-01-01
zone_municipality_state_mx_chis_07036,municipality_state_mx_chis_07036,singlezone,2019-01-01
zone_municipality_state_mx_chis_07037,municipality_state_mx_chis_07037,singlezone,2019-01-01
zone_municipality_state_mx_chis_07038,municipality_state_mx_chis_07038,singlezone,2019-01-01
zone_municipality_state_mx_chis_07039,municipality_state_mx_chis_07039,singlezone,2019-01-01
zone_municipality_state_mx_chis_07040,municipality_state_mx_chis_07040,singlezone,2019-01-01
